개봉일,제목,배급사,감독,출연진,장르
2023-01-04,스위치,"롯데컬처웍스, (주)롯데엔터테인먼트",마대윤,"권상우, 오정세, 이민정, 박소이, 김준",기타
2023-01-05,강남좀비,(주)와이드릴리즈,이수성,"지일주, 지연",드라마
2023-01-12,별 볼일 없는 인생,(주)이놀미디어,서동현,정가은,멜로/로맨스
2023-01-12,10일간의 애인,(주)그노스,이영용,송민경,멜로/로맨스
2023-01-18,교섭,플렉스엠엔터테인먼트,임순례,"황정민, 현빈, 강기영",드라마
2023-01-18,유령,(주)CJ ENM,이해영,"설경구, 이하늬, 박소감, 박해수, 서현우, 김동희",액션
2023-01-20,정이,넷플릭스,연상호,"강수연, 김현주, 류경수",SF
2023-01-25,"열여덟, 어른이 되는 나이",필름 다빈,주영,"임선우, 김명찬, 이장유, 박현숙",드라마
2023-02-08,다음 소희,트윈플러스파트너스,정주리,"김시은, 배두나, 박우영, 정수하",드라마
2023-02-08,어쩌면 우린 헤어졌는지 모른다,(주)영화특별시 에스엠씨,형슬우,"이동휘, 정은채, 강길우, 정다은",드라마
2023-02-08,우리 사랑이 향기로 남을 때,"(주)콘텐츠존, (주)다자인소프트",임성용,"윤시윤, 설인아, 노상현, 문지인, 이규복, 김영웅",멜로·로맨스·코미디
2023-02-17,스마트폰을 떨어뜨렸을 뿐인데,넷플릭스,김태준,"천우희, 임시완, 김희원",스릴러
2023-02-22,카운트,(주)CJ ENM,권혁재,"진선규, 성유빈, 오나라, 고창석, 장동주, 고규필",드라마
2023-02-22,살수,(주)제이앤씨미디어그룹,곽정덕,"신현준, 이문식, 김민경, 홍은기, 최성원",액션
2023-02-23,컨버세이션,필름 다빈,김덕중,"조은지, 박종환, 곽민규, 소이, 송은지, 곽진무",드라마
2023-03-01,멍뭉이,(주)와이웍스엔터테인먼트,김주환,"유연석, 차태현",드라마
2023-03-01,대외비,플러스엠엔터테인먼트,이원태,"조진웅, 이성민, 김무열","범죄, 드라마"
2023-03-08,그대 어이가리,(주)영화사 순수,이창열,"선동혁, 정아미, 박종진",드라마
2023-03-15,소울메이트,(주)넥스트엔터테인먼트월드,민용근,"김다미, 전소니, 변우석",드라마
2023-03-23,낭만 캠퍼스,(주)콘텐츠윙,박동기,"신민재, 송보은, 이경욱, 설유진, 현진영, 박동기, 김세환",드라마
2023-03-29,여섯 개의 밤,(주)인디스토리,최창환,"강길우, 강진아, 김시은, 변중희, 이한주, 정수지","드라마, 멜로·로맨스, 가족"
2023-03-29,여덟 번째 감각,(주)플레이그램,배인우,"오준택, 임지섭, 박해인, 장영준, 방진원, 서지안, 채수아",멜로·로맨스
2023-03-29,웅남이,(주)CJ CGV,박성광,"박성웅, 이이경, 염혜란, 최민수, 오달수, 윤제문, 백지혜, 서동원, 한다솔","코미디, 액션"
2023-03-29,찬란한 나의 복수,영화배급협동조합 씨네소파,임성운,"허준석, 이영석, 남보라",드라마
2023-03-29,흐르다,M&M 인터내셔널,김현정,"이설, 박지수",드라마
2023-04-05,리바운드,(주)바른손이앤아이,장항준,"안재홍, 양한열",드라마
2023-04-05,장기자랑,(주)영화사 진진,이소현,"김명임, 김도현, 김순덕, 박유신, 이미경, 최지연, 박혜영",다큐멘터리
2023-04-05,오늘 출가합니다,(주)트리플픽쳐스,김성환,"양홍주, 나현준",드라마
2023-04-05,불멸의 여자,드림팩트엔터테인먼트,최종태,"이음, 윤가현, 인내상",드라마
2023-04-06,솔라 플라워,㈜스토리제이,한경탁,"오원빈, 서지희, 심현탁, 박정철, 김수하, 김민, 김봉주, 조수빈, 정병훈","멜로,로맨스,드라마"
2023-04-12,사랑의 고고학,(주)엣나인필름,이완민,"옥자연, 기윤, 하민호",드라마
2023-04-12,보이지 않아,아웃런브라더스픽쳐스,최세환,"박호산, 신애리, 백수련, 이노아, 정혜인, 이용녀",드라마
2023-04-12,제비,(주)시네마달,이송희일,"윤박, 우지현, 박미현, 장희령, 이대연, 박소진, 유인수",드라마
2023-04-12,나는 여기에 있다,와이드릴리즈(주),신근호,"조한선, 정지운, 정태우, 노수산나, 박순천, 정인기, 이지원",범죄·액션·스럴리
2023-04-12,물안에서,"영화제작전원사, 콘텐츠판다",홍상수,"신석호, 하성국, 김승윤, 김민희, 김소령",드라마
2023-04-12,밥만 잘 사주는 이상한 이사님 극장판,CJ CGV,양경희,"박정우, 박영훈","드라마,멜로"
2023-04-14,킬링 로맨스,롯데컬쳐웍스 (주)롯데엔터테인먼트,이원석,"이하늬, 이선균, 공명, 김상욱",코미디
2023-04-19,낭만적 공장,(주)영화사오윈,조은성,"심희섭, 전혜진, 한승도, 박수영",멜로·로맨스
2023-04-19,튤립 모양,삼거리픽쳐스,양윤모,"유다인, 김다현, 문희경, 김정균, 진혜원, 이지용",드라마
2023-04-26,드림,(주)플렉스엠엔터테인먼트,이병헌,"박서준, 아이유, 김종수, 고창석, 정승길, 이현우, 양현민, 홍완표, 허준석, 이하늬",드라마
2023-04-27,2퍼센트,시네마 뉴원,문신구,"허지나, 남명렬",드라마
2023-05-10,롱디,(주)넥스트엔터테인먼트,임재완,"장동윤, 박유나",멜로·로맨스·코미디
2023-05-10,바람개비,(주)디스테이션,이상훈,"차선우, 유지애, 김소희, 이원석, 서지후",액션
2023-05-10,스트리머,TCO(주)더콘텐츠온,장형모,"이푸름, 권민혁, 김준형, 심소영, 김모범",공포·미스터리
2023-05-17,말이야 바른 말이지,씨에스픽쳐스,"박동훈, 최하나, 송현주, 한인미, 윤성호","김경일, 양현민, 김소형, 김우겸, 정승길, 조윤서, 신사랑, 오경화, 서벽준, 정유연",코미디
2023-05-18,남자는 처음을 원하고 여자는 마지막을 원한다,(주)스토리제이,이현준,"윤성모, 정미미, 장원혁",멜로·로맨스
2023-05-24,스프린터,스튜디오 에이드,최승연,"박성일, 공민정, 임지호, 전신환, 송덕호, 최준혁, 한태경",기타
2023-05-31,드림팰리스,(주)인디스토리,가성문,"김선영, 이윤지, 최민영, 김용준",드라마
2023-05-31,범죄도시 3,(주)에이비오엔터테인먼트,이상용,"마동석, 이준혁, 아오키 무네타카, 이범수, 김민재, 이지훈, 김도건, 최동구, 이세호, 고규필, 전석호, 최우준, 한규원, 이태규, 홍준영, 안세호, 강윤, 배누리, 심영은, 김기호","범죄, 액션"
2023-06-07,박하경 여행기,CJ엔터테인먼트,이종필,이나영,드라마
2023-06-07,익스트림 페스티벌,트윈플러스파트너스(주),김홍기,"김재화, 조민재, 박강섭",코미디
2023-06-08,안나푸르나,시네마뉴원,황승제,"김강현, 차선우, 한수연, 신연서, 서은채",드라마
2023-06-08,육지것들,(주)씨엠닉스,이황,소이,코미디
2023-06-14,실버맨,(주)이놀미디어,최윤호,"김정팔, 박상욱, 신의현, 이경준, 유재인",드라마
2023-06-21,귀공자,(주)넥스트엔터테인먼트월드,박훈정,"김선호, 강태주, 김강우, 고아라",액션
2023-06-21,손,(주)이눌미디어,최윤호,"이재원, 박상욱, 정서하, 허웅, 안수호","공포,코미디"
2023-06-21,인드림,(주)원더스튜디오,신재호,"서효림, 오지호, 김승수, 이설구, 노지유",액션
2023-06-28,아수라장: 범털들의 전쟁,(주)제이앤씨미디어그룹,윤여창,"정영주, 안미나, 배진아, 한가은",범죄
2023-06-28,라방,트리플픽쳐스,최주연,"박성웅, 박선호, 김희정",스릴러
